1,Green Juice,Vegetarian,NULL,No Region,Drink,false,true,true,true,2019-01-04 13:41:08.262032,2019-08-02 19:18:32.369862,"1) Wash all ingredients.

2) Quarter the apples

3) Peel the lemons with a knife. 

4) Put all in juicer",3,5,15
20,Chicken Bowl,Chicken,NULL,No Region,Main Dish,false,false,false,false,2019-01-16 23:09:28.965757,2019-08-25 20:01:06.312937,"1) Cook chicken - grill or cast iron skillet.

2) Slice Carrots and Kale

3) Cook carrots - steam or on the stove.

4) Cook Kale on the stove with Olive Oil. 

5) Microwave Rice

6) Distribute all ingredients to bowl.
",1,5,14
21,Jalapeno Lime Steak Tacos,Steak,NULL,Mexican,Main Dish,false,false,false,true,2019-01-17 04:34:59.476398,2020-03-11 19:22:00.890003,"1) Combine jalapeño, garlic, cilantro, lime juice, oil, salt, pepper, and cumin in a large resealable bag or bowl. 

2) Add steak and toss to coat; if using bowl, wrap with plastic. Marinate at least 30 minutes at room temperature or chill up to overnight in refrigerator, tossing occasionally.

3) Let steak sit at room temperature 30 minutes before cooking if chilled. Prepare a grill or grill pan for medium-high heat. 

4) Remove steak from marinade, scraping off any bits that cling to meat; discard marinade. 

5) Grill steak 2–3 minutes per side for medium-rare. Let rest 10 minutes before thinly slicing against the grain.",3,5,15
72,Spicy Lime Chicken Tacos with Cabbage Slaw,Chicken,108,Mexican,Main Dish,false,false,false,true,2020-04-16 14:37:02.098712,2020-04-20 16:18:20.322771,,1,5,1
18,Salmon,Salmon,NULL,,Main Dish,false,false,false,true,2019-01-16 23:05:56.120053,2020-04-20 16:21:42.22583,,4,5,14
13,"Pork Loin with Sweet Potato Apple, and Pear Smash",Pork,145,American,Main Dish,false,false,false,false,2019-01-08 22:47:46.956025,2019-02-06 19:01:08.384081,,1,3,14
14,"Chicken, Lime, and Avocado Soup",Chicken,93,Mexican,Soup,false,false,false,true,2019-01-08 23:01:27.467676,2019-02-06 18:02:56.370415,,1,3,13
5,Crustless Quiche,Eggs,25,American,Main Dish,false,true,false,false,2019-01-04 17:00:22.051988,2019-02-06 18:58:16.84073,"1) Preheat oven to 375 degrees. 

2) In a bowl, whisk eggs until smooth.  

3) Add the milk whisk thoroughly. 

4) Add the bread cubes and wait 2-3 minutes.

5) In a large oven-safe skillet, heat olive oil over medium-high heat.   Add the leek and asparagus and saute for 1 minute.  Season with salt.

6) Add the egg mixture to the leeks and asparagus in the skillet.  

7) Reduce heat to medium and stir in the cheese and cabbage. 

8) Bake for 25 minutes or until set. 

9) Let rest for 5 minutes on cooling rack.  Slice and serve.",1,4,3
19,Grilled Chicken,Chicken,NULL,,Main Dish,false,false,false,false,2019-01-16 23:07:16.119167,2019-12-17 19:11:31.97759,,2,5,14
33,Roasted Root with Chicken,Chicken,160,No Region,Main Dish,false,false,false,true,2019-02-09 19:59:26.490958,2020-04-16 14:29:05.741955,,2,NULL,2
34,Chicken Avocado Collard Wraps,Chicken,166,No Region,Main Dish,false,false,false,true,2019-02-09 20:12:47.278272,2020-03-20 01:52:24.519795,,2,5,2
32,Pork and Tomatillos Soup,Pork,98,Mexican,Soup,false,false,false,true,2019-02-09 19:37:29.003308,2019-02-09 19:39:36.545423,,1,4,2
8,Casava Flour Tortillas,Vegetarian,NULL,Mexican,Baked Good,false,true,true,true,2019-01-05 16:52:47.580321,2019-02-06 18:57:33.407239,"1) Combine ingredients for the tortillas in a medium size bowl and mix together until well combined. The dough should stick together and be a smooth consistency.

2) Divide the dough into 10 equal parts and shape into balls. On a piece of parchment paper roll and pat each section of dough into a thin tortilla. You can use your hands or a rolling pin for this. If the dough is sticking sprinkle lightly with cassava flour.

3) Heat a fry pan on the stove over medium/low heat. Drizzle the pan lightly with olive oil for cooking.

4) Cook the tortillas for about 1-3 minutes in each side until it reaches desired consistency. You can make them crisp or soft. It's up to your personal preference!",2,5,15
35,Thai Coconut Chicken Soup,Chicken,171,Asian,Soup,false,false,false,true,2019-02-09 20:21:31.099337,2020-04-06 16:12:32.548229,,2,5,2
6,Bison Tacos,Bison,NULL,Mexican,Main Dish,false,false,false,false,2019-01-05 16:24:07.224081,2020-07-08 14:48:55.499714,"1) In a small bowl, mix together chili powder, garlic powder, onion powder, red pepper flakes, oregano, paprika, cumin, salt, and pepper. 

2) Heat olive oil on medium-high heat and cook onion and garlic for 2 minutes. 

3) Brown bison for 1 - 2 mins.  Add spice mixture and stir until fully incorporated. 

4) Drain Excess liquid from cooked meat.  

",2,5,14
