43,1,Teaspoon,,6,31,2019-01-05 16:30:58.3017,2019-01-05 16:31:06.825064,NULL
2,2,Bunch,,1,2,2019-01-04 13:42:34.601136,2019-01-04 13:45:58.514386,NULL
3,1,Bunch,,1,3,2019-01-04 13:46:19.431329,2019-01-04 13:46:26.62299,NULL
5,2,1 Inch,,1,6,2019-01-04 13:49:03.391987,2019-01-04 13:49:15.966604,NULL
6,1,1 Inch,,1,7,2019-01-04 13:49:32.869676,2019-01-04 13:49:41.327239,NULL
533,0.5,Teaspoon,,72,13,2020-04-16 14:37:02.103825,2020-04-16 14:39:26.899627,2
535,0.5,Teaspoon,,72,12,2020-04-16 14:37:02.108357,2020-04-16 14:40:06.645079,4
44,1,Package,,6,32,2019-01-05 16:34:39.160241,2019-01-05 16:37:34.550775,NULL
536,0.5,Teaspoon,,72,31,2020-04-16 14:37:02.110236,2020-04-16 14:40:19.526395,5
45,2,Whole,Diced,6,33,2019-01-05 16:37:47.308587,2019-01-05 16:37:56.831655,NULL
68,2,Head,Chopped,9,34,2019-01-05 17:06:11.19626,2019-01-05 18:51:20.320421,NULL
7,2,Whole,,1,1,2019-01-04 13:52:32.301867,2019-01-04 14:01:27.049832,NULL
1,2,Whole,Quartered,1,5,2019-01-04 13:41:31.772813,2019-01-04 14:01:33.522411,NULL
8,2,Whole,Peeled,1,4,2019-01-04 13:53:10.960462,2019-01-04 14:01:44.184847,NULL
12,1,Whole,Medium,3,8,2019-01-04 16:25:12.802955,2019-01-04 16:25:25.15234,NULL
13,5,Whole,"Peeled, cored, cut into wedges",3,5,2019-01-04 16:25:48.382599,2019-01-04 16:26:28.433308,NULL
14,1,Whole,Diced,3,9,2019-01-04 16:27:18.203218,2019-01-04 16:27:36.222839,NULL
15,2,Cloves,Minced,3,10,2019-01-04 16:28:00.838733,2019-01-04 16:28:17.721224,NULL
16,2,Teaspoon,,3,11,2019-01-04 16:28:46.07991,2019-01-04 16:28:54.778446,NULL
17,1,Teaspoon,,3,12,2019-01-04 16:29:14.594485,2019-01-04 16:29:22.661017,NULL
18,0.5,Teaspoon,,3,13,2019-01-04 16:29:53.267401,2019-01-04 16:30:03.061546,NULL
19,3,Cup,Home Made,3,14,2019-01-04 16:30:26.986327,2019-01-04 16:30:41.712772,NULL
21,0.3,Cup,,4,15,2019-01-04 16:49:34.12029,2019-01-04 16:49:46.286504,NULL
22,2,Whole,Juiced,4,4,2019-01-04 16:50:34.845318,2019-01-04 16:50:34.845318,NULL
23,3,Oz,Minced,4,10,2019-01-04 16:50:57.161491,2019-01-04 16:50:57.161491,NULL
24,0.5,Teaspoon,,4,16,2019-01-04 16:51:23.567047,2019-01-04 16:51:31.623687,NULL
20,2,Bunch,Stems and cut in 1/4 inch shreds,4,3,2019-01-04 16:49:04.252146,2019-01-04 16:51:50.788007,NULL
25,0.5,Cup,Shredded,4,17,2019-01-04 16:52:38.148802,2019-01-04 16:52:58.902223,NULL
26,2,Tablespoon,,4,18,2019-01-04 16:53:22.858149,2019-01-04 16:53:32.461926,NULL
